#{"t_start": 1784182486.7544653, "env_id": "CartPole-v1"}
r,l,t
30.0,30,42.75983
24.0,24,43.136492
15.0,15,43.136492
14.0,14,43.136492
12.0,12,43.136492
20.0,20,43.152115
16.0,16,43.152115
23.0,23,43.152115
17.0,17,43.152115
12.0,12,43.152115
14.0,14,43.152115
28.0,28,43.167738
22.0,22,43.167738
14.0,14,43.167738
14.0,14,43.167738
34.0,34,43.54468
39.0,39,43.560522
28.0,28,43.560522
24.0,24,43.560522
24.0,24,43.560522
28.0,28,43.560522
29.0,29,43.560522
14.0,14,43.576487
58.0,58,43.592111
14.0,14,43.983414
16.0,16,43.983414
23.0,23,43.999037
20.0,20,43.999037
24.0,24,43.999037
77.0,77,44.01466
18.0,18,44.01466
18.0,18,44.01466
16.0,16,44.01466
25.0,25,44.01466
14.0,14,44.344064
25.0,25,44.344064
16.0,16,44.344064
17.0,17,44.359691
12.0,12,44.359691
12.0,12,44.359691
14.0,14,44.359691
52.0,52,44.359691
